,battery_bid_fcas_power,battery_bid_fcas_price,battery_bid_fcas_type,fcas_cleared_power,battery_bid_energy_power_gen,battery_bid_energy_power_load,battery_bid_energy_price,battery_bid_energy_type,fcas_clearing_price,energy_price,raise_demand,raise_price,soe,timestamp
67,5.610295997968479e-08,58.33,gen,0.0002326102943834517,-300.0000269640919,0,93.7,gen,63.0,93.7,58.33,20.59,429.0001086660646,2018-06-02 14:00:00
68,2.0464451701901415e-07,45.0,gen,3.3434311374968275e-05,0,299.99989699824704,79.12,load,63.0,79.12,45.0,22.96123,129.0003143122671,2018-06-02 14:30:00
69,2.442395448125174e-07,45.0,gen,3.341451140789428e-05,0,299.99988094112587,80.47,load,63.0,80.47,45.0,22.07562,429.0002447448255,2018-06-02 15:00:00
70,2.683180148913906e-07,55.97,gen,-0.0001853711050753586,0,299.99984234768766,81.5,load,63.0,81.5,55.97,24.97,729.0001591004627,2018-06-02 15:30:00
71,7.681052734128085e-09,61.0,gen,-3.6382837400178444e-09,0,0.00018370988984093612,99.19,load,63.0,99.19,61.0,30.0,1028.9998160770454,2018-06-02 16:00:00
72,1.0669385576659706e-08,61.0,gen,-5.0445636940784255e-09,0,1.71985997401043e-07,104.49,load,63.0,104.49,61.0,30.0,1028.999999783297,2018-06-02 16:30:00
73,7.882928761872836e-09,81.0,gen,-0.00015622254289165212,-300.00000003157015,0,155.7,gen,70.0,155.7,81.0,34.9309,1028.9999999502384,2018-06-02 17:00:00
74,-1.689839712583456e-07,81.0,gen,-0.00015613410780152952,0,300.00009216408375,122.78,load,70.0,122.78,81.0,30.03,728.9998436961253,2018-06-02 17:30:00
75,7.747225125465667e-09,76.0,gen,-1.4574318702357243e-05,-299.9999999852999,0,157.69,gen,70.0,157.69,76.0,50.0,1028.9997797261012,2018-06-02 18:00:00
76,3.122713048043381e-08,61.0,gen,-1.4718852323906526e-08,-299.9999997477271,0,145.31,gen,63.0,145.31,61.0,34.00243,728.9997651664826,2018-06-02 18:30:00
77,6.568690097477183e-09,61.0,gen,-3.114804755679523e-09,-128.99976454606144,0,134.91,gen,63.0,134.91,61.0,27.093420000000002,428.9997654040366,2018-06-02 19:00:00
78,1.2146471896720027e-08,61.0,gen,-5.739657469515534e-09,0,299.9999995523732,128.39,load,63.0,128.39,61.0,30.0,300.0000008548604,2018-06-02 19:30:00
79,8.847114045162901e-09,61.0,gen,-4.187033130847787e-09,-299.9999995249109,0,136.82,gen,63.0,136.82,61.0,32.56997,600.0000004014939,2018-06-02 20:00:00
80,3.7437605589861155e-09,65.33,gen,-0.00023636594263755923,-300.00000085968264,0,212.57,gen,70.0,212.57,65.33,30.0,300.000000872396,2018-06-02 20:30:00
81,1.1205346467359559e-08,71.0,gen,0.0002088658324415765,0,3.130142445507464e-07,133.87,load,70.0,133.87,71.0,30.03,0,2018-06-02 21:00:00
82,3.481530504386891e-08,78.35,gen,-0.000247250447531008,-0.0002086520000743058,0,118.52,gen,70.0,118.52,78.35,20.0,0.00020917884668612724,2018-06-02 21:30:00
83,5.9970605279922305e-09,68.12,gen,-8.529605197386456e-05,-5.021235342237767e-08,0,107.81,gen,70.0,107.81,68.12,18.89,0,2018-06-02 22:00:00
84,8.260815131151264e-09,72.45,gen,-0.0003010376448176179,-4.525159410313629e-08,0,99.67,gen,70.0,99.67,72.45,18.25004,0,2018-06-02 22:30:00
85,8.800865666323488e-10,62.27,gen,0.0002264552748875521,0,299.9999999161605,97.05,load,70.0,97.05,62.27,18.81258,0,2018-06-02 23:00:00
86,8.988087347210581e-09,64.33,gen,-0.00021310375822564232,0,299.9997772336065,97.32,load,70.0,97.32,64.33,16.05977,300.0002263714354,2018-06-02 23:30:00
87,-1.35873401851858e-07,61.0,gen,6.391725893762512e-08,9.635221807044061e-08,0,97.57,gen,63.0,97.57,61.0,16.279629999999997,599.9997905012838,2018-06-03
88,-1.6718170237672174e-07,61.0,gen,7.865069725868333e-08,-299.9998790939049,0,109.66,gen,63.0,109.66,61.0,13.42,599.9997906615532,2018-06-03 00:30:00
89,-1.3642387414950565e-07,61.0,gen,6.417629479237169e-08,-299.99991391742617,0,116.33,gen,63.0,116.33,61.0,12.01,299.99991164629904,2018-06-03 01:00:00
90,9.323634353126144e-09,61.0,gen,-4.411254945144425e-09,0,300.00000001823173,88.74,load,63.0,88.74,61.0,17.5,0,2018-06-03 01:30:00
91,8.417243741501898e-09,41.0,gen,-3.657608321749322e-05,-299.9999995977823,0,100.37,gen,63.0,100.37,41.0,24.97,300.00000001382045,2018-06-03 02:00:00
92,6.954477353923409e-09,54.76,gen,8.089442740238403e-05,0,299.99999994939463,94.7,load,63.0,94.7,54.76,25.04482,0,2018-06-03 02:30:00
93,1.477916736847531e-07,41.0,gen,-3.664577033956805e-05,-300.00007209143195,0,103.72,gen,63.0,103.72,41.0,25.30294,300.00008084382205,2018-06-03 03:00:00
94,5.2871397809513965e-09,41.0,gen,-3.657451828497839e-05,0,299.9999860475851,94.59,load,63.0,94.59,41.0,27.81,0,2018-06-03 03:30:00
95,-8.236806539900781e-08,41.0,gen,-3.653069068316497e-05,-299.99995027426803,0,94.67,gen,63.0,94.67,41.0,23.98,299.9999494730668,2018-06-03 04:00:00
96,8.43681766729467e-09,41.0,gen,-3.6576093055480134e-05,0,299.99999997766224,77.57,load,63.0,77.57,41.0,27.81,0,2018-06-03 04:30:00
97,3.597433553829902e-09,41.0,gen,-3.657367335142044e-05,0,299.99999995527764,80.95,load,63.0,80.95,41.0,28.49,299.9999634015692,2018-06-03 05:00:00
98,2.5884937761293814e-08,41.0,gen,-3.6584817094034497e-05,-170.99992681736552,0,84.29,gen,63.0,84.29,41.0,26.449559999999998,599.9999267831735,2018-06-03 05:30:00
99,-1.2677690025105603e-08,41.0,gen,-3.656553580262243e-05,0,300.00001752000645,67.52,load,63.0,67.52,41.0,18.99,428.99996338099083,2018-06-03 06:00:00
100,-5.767004978534701e-08,47.72,gen,9.765959018968417e-05,0,300.0000497315475,82.23,load,63.0,82.23,47.72,14.2516,728.9999443354615,2018-06-03 06:30:00
101,1.1507436659798832e-08,49.8,gen,-0.00023658472575306807,-6.108658916375758e-07,0,88.2,gen,63.0,88.2,49.8,18.89,1029,2018-06-03 07:00:00
102,-6.435414468425113e-09,49.93,gen,-2.2579147381035824e-05,0,0.00023706701839140796,90.87,load,63.0,90.87,49.93,18.89,1028.9997628044084,2018-06-03 07:30:00
103,-5.827535405746907e-07,61.0,gen,2.7421532850534756e-07,0,6.64165468429621e-06,91.19,load,63.0,91.19,61.0,14.46991,1028.9999772922795,2018-06-03 08:00:00
104,1.168240788168639e-07,61.0,gen,-5.50000811317242e-08,-299.9999998223051,0,103.7,gen,63.0,103.7,61.0,18.46013,1028.9999842081495,2018-06-03 08:30:00
105,4.4606951902641055e-08,61.0,gen,-2.101531264943943e-08,-299.9999997676576,0,100.98,gen,63.0,100.98,61.0,18.25,728.9999843308443,2018-06-03 09:00:00
106,2.7241775818391803e-08,61.0,gen,-1.2843385258085609e-08,-299.9999998819447,0,102.26,gen,63.0,102.26,61.0,18.25008,428.99998454217143,2018-06-03 09:30:00
107,6.288215162227318e-08,61.0,gen,-2.961544803031578e-08,-128.99998432851413,0,93.59,gen,63.0,93.59,61.0,14.9,128.99998464738337,2018-06-03 10:00:00
108,2.4725463508910875e-08,61.0,gen,-1.1659224978988603e-08,-3.994382244583789e-08,0,88.93,gen,63.0,88.93,61.0,9.0,2.8925379069733026e-07,2018-06-03 10:30:00
109,3.1594853420140944e-08,41.63,gen,0.00013277913949114116,0,1.3404613663902204e-06,84.13,load,63.0,84.13,41.63,12.28996,2.3765074327250377e-07,2018-06-03 11:00:00
