,b_fcas_power,b_fcas_price,b_fcas_type,b_fcas_actor_power,b_fcas_actor_price,b_en_actor_power,b_en_power_gen,b_en_power_load,b_en_price,b_en_type,b_fcas_cleared_power,fcas_clearing_price,en_price,r,current_state_value,next_state_value,fcas_demand,soe,timestamp,k,delta
6032,27.892143,66.12274,gen,28.899618,66.8324,36.35347,0,35.810875,103.15,load,-10.000448139178598,66.12274169921875,103.15,-3098.7604056892187,,,71.0,468.5717079014518,2018-10-04 20:30:00,1.0000000000000007,
6033,33.5345,67.35579,gen,34.710373,67.1499,41.95889,0,43.256058,84.8,load,0.00013298865311705746,63.0,84.8,-3668.1136962890623,,,61.0,494.38213470123804,2018-10-04 21:00:00,1.0000000000000007,
6034,39.505894,67.94099,gen,38.684357,66.476105,39.99214,0,39.823986,84.67,load,-3.3248719264430493,67.94098663330078,84.67,-3168.59132794632,,,64.33,537.638325429149,2018-10-04 21:30:00,1.0000000000000007,
6035,44.51662,65.14876,gen,43.806454,66.26584,44.10468,0,44.21585,79.07,load,-6.896045033785338e-06,63.0,79.07,-3496.1473251342773,,,41.13,574.1374395561727,2018-10-04 22:00:00,1.0000000000000007,
6036,38.437275,64.60657,gen,39.039055,66.48558,24.597437,0,23.235188,115.42,load,-0.26025238616683777,64.6065673828125,115.42,-2666.6727327812555,,,61.26,618.3532834902057,2018-10-04 22:30:00,1.0000000000000007,
6037,42.250023,69.48717,gen,43.043602,69.67143,27.943365,0,25.927881,95.0,load,-0.00010933835121719899,63.0,95.0,-2463.148717880249,,,45.06,641.3282186345565,2018-10-04 23:00:00,1.0000000000000007,
6038,51.338966,71.25501,gen,50.80915,70.012474,38.669846,0,35.71026,71.6,load,-0.0002123100010018613,63.0,71.6,-2556.854507446289,,,47.63,667.25599053705,2018-10-04 23:30:00,1.0000000000000007,
6039,32.926735,52.01545,gen,32.907482,51.270336,-14.938207,-16.36835,0,95.58,gen,-26.669793910261227,52.01544952392578,95.58,2813.0039916762616,,,57.67,702.9660367109358,2018-10-05,1.0000000000000007,
6040,32.317295,49.44982,gen,32.2357,48.595993,-12.374925,-12.813191,0,68.57,gen,-9.999242087888547,49.44982147216797,68.57,1323.615197742479,,,41.0,659.9278937253572,2018-10-05 00:30:00,1.0000000000000007,
6041,26.651035,45.306896,gen,27.756035,45.45748,-21.530472,-22.765606,0,92.14,gen,-26.65095033536187,63.0,92.14,3184.3475867300713,,,57.67,637.1154602235893,2018-10-05 01:00:00,1.0000000000000007,
6042,8.731481315749079e-09,61.0,gen,0.7801369,42.669243,-76.0275,-75.42637,0,222.96,gen,-4.132601552810891e-09,63.0,222.96,16817.0625,,,61.0,587.6989039617138,2018-10-05 01:30:00,1.0000000000000007,
6043,14.53183,59.883747,gen,13.602284,59.160423,-26.316381,-25.860565,0,94.62,gen,-10.000041534024419,59.88374710083008,94.62,2985.882640255629,,,41.0,512.2725352442022,2018-10-05 02:00:00,1.0000000000000007,
6044,25.217579,44.416264,gen,23.898058,45.635635,0.10029714,0,1.0515894,65.57,load,-10.00068335753608,44.416263580322266,65.57,330.82097421642607,,,41.0,476.4119285246309,2018-10-05 02:30:00,1.0000000000000007,
6045,23.09127,38.05743,gen,23.077652,38.4709,-7.6890235,-7.590032,0,63.67,gen,-9.99979135801717,38.057430267333984,63.67,825.7670699162006,,,41.0,467.4628345368687,2018-10-05 03:00:00,1.0000000000000007,
6046,20.239546,37.56656,gen,21.727736,36.288605,-10.300564,-9.141889,0,60.8,gen,-9.997063181834614,37.566558837890625,60.8,893.8265640067798,,,41.0,449.87301107817404,2018-10-05 03:30:00,1.0000000000000007,
6047,22.596054,34.658054,gen,21.515915,35.741386,-7.96315,-8.586268,0,58.22,gen,-10.000263900385155,34.65805435180664,58.22,811.823268515552,,,41.0,430.7340592778702,2018-10-05 04:00:00,1.0000000000000007,
6048,21.471695,35.15886,gen,21.117172,34.72758,-6.6922417,-6.6124096,0,55.39,gen,-10.000385740960002,35.15885925292969,55.39,682.7033065501433,,,41.0,412.14752695249723,2018-10-05 04:30:00,1.0000000000000007,
6049,19.99216,33.31223,gen,18.921658,33.944427,-8.358289,-8.8207655,0,63.9,gen,-10.0001807704435,33.31222915649414,63.9,863.4623972379306,,,41.0,395.53473161986244,2018-10-05 05:00:00,1.0000000000000007,
6050,16.942556,33.720158,gen,16.681486,33.968594,-9.637803,-8.506037,0,66.44,gen,-10.000201977857737,33.720157623291016,66.44,868.6286304919128,,,41.0,376.71378535411867,2018-10-05 05:30:00,1.0000000000000007,
6051,17.096855,33.703846,gen,16.719715,34.747074,-4.5010657,-5.261222,0,61.86,gen,-10.000201074678774,33.7038459777832,61.86,628.7998989392879,,,41.0,358.2075466178381,2018-10-05 06:00:00,1.0000000000000007,
6052,12.798155,34.218636,gen,14.35409,33.798332,-6.1358924,-6.3284464,0,71.03,gen,-9.999891737608646,34.21863555908203,71.03,757.4739328565712,,,41.0,342.94612365747815,2018-10-05 06:30:00,1.0000000000000007,
6053,10.873432,35.86349,gen,11.33184,36.39564,-6.325091,-6.2144084,0,78.86,gen,-10.873439340773853,63.0,78.86,841.0317913548308,,,53.73,326.61778553162486,2018-10-05 07:00:00,1.0000000000000007,
6054,12.062928,44.989418,gen,13.420257,44.45096,19.13644,0,18.795301,83.23,load,-9.997396080872864,44.989418029785156,83.23,-1159.5336102904125,,,41.0,309.52993779317643,2018-10-05 07:30:00,1.0000000000000007,
6055,8.217913,38.915123,gen,6.632321,38.38156,-8.610885,-10.231365,0,105.72,gen,-8.217865463013368,63.0,105.72,1369.4792500086323,,,44.15,318.3278431496815,2018-10-05 08:00:00,1.0000000000000007,
6056,1.077360201051647e-09,72.8499984741211,gen,1.5658237,48.643135,-6.672978,-6.007844,0,145.62,gen,-0.0003073595085199464,70.0,145.62,874.8622390937805,,,72.85,299.8786124828107,2018-10-05 08:30:00,1.0000000000000007,
6057,0.4214428,54.72743,gen,1.1843725,54.957783,5.599893,0,4.6602883,125.1,load,-0.4213152634150377,70.0,125.1,-562.2503197350993,,,64.63,293.87046115204976,2018-10-05 09:00:00,1.0000000000000007,
6058,8.416545,52.08517,gen,7.703665,51.42205,16.067682,0,14.7704,103.0,load,-8.416550533405337,63.0,103.0,-1126.8114804109916,,,44.15,298.10943422252757,2018-10-05 09:30:00,1.0000000000000007,
6059,13.827598,48.14182,gen,14.709417,49.072628,25.536665,0,25.060623,75.54,load,-9.998996301208205,48.14181900024414,75.54,-1459.8465910769407,,,41.0,304.4632837364245,2018-10-05 10:00:00,1.0000000000000007,
6060,15.661951,42.931484,gen,14.2129,42.037193,11.623306,0,9.079093,82.64,load,-9.999665109032211,42.93148422241211,82.64,-363.9258254481513,,,41.0,319.5249106041616,2018-10-05 10:30:00,1.0000000000000007,
6061,8.60502,40.22323,gen,9.953886,40.253593,-0.522393,-1.460243,0,98.28,gen,-8.605332829570262,63.0,98.28,455.03352222924775,,,41.0,318.60433847456056,2018-10-05 11:00:00,1.0000000000000007,
6062,7.244,48.332684,gen,7.6223416,48.178177,10.814078,0,10.474824,116.6,load,-7.244459175802646,63.0,116.6,-906.2347351329483,,,46.24,308.5387626583112,2018-10-05 11:30:00,1.0000000000000007,
6063,9.498366,49.243,gen,9.211699,50.362473,13.870442,0,13.305527,105.99,load,-9.498214987468582,63.0,105.99,-989.3042376469,,,42.67,311.76912743422974,2018-10-05 12:00:00,1.0000000000000007,
6064,7.148789,48.940727,gen,6.559825,49.25923,7.617799,0,8.403126,123.7,load,-7.148425441374665,63.0,123.7,-724.6024311653259,,,46.63,315.5764391801596,2018-10-05 12:30:00,1.0000000000000007,
6065,13.823064,50.617577,gen,12.13624,52.448208,20.051615,0,21.337727,94.4,load,-10.410852435931496,50.617576599121094,94.4,-1540.0064818067415,,,41.41,316.83113950172435,2018-10-05 13:00:00,1.0000000000000007,
6066,16.76327,47.51149,gen,16.234194,47.239643,18.638237,0,17.598803,80.15,load,-10.000557783849278,47.51148986816406,80.15,-982.9167658662352,,,41.0,327.75801365881046,2018-10-05 13:30:00,1.0000000000000007,
